ROI Type,ROI No,Gain (dB),Exposure,Mean,Std,SNR (dB)
grayscale,0,6.0,2.0,7159.549436795995,230.23028097504312,29.85446497456332
grayscale,1,6.0,2.0,9537.321652065082,281.0417039323283,30.613113196962026
grayscale,2,6.0,2.0,13038.810513141427,342.8395760682368,31.602940491299233
grayscale,3,6.0,2.0,17571.926908635796,408.66343175107215,32.66907220913355
grayscale,4,6.0,2.0,23780.041051314143,486.05383901171126,33.79056444646927
grayscale,5,6.0,2.0,31463.529411764706,565.7319126107194,34.903935202754276
grayscale,6,6.0,2.0,38963.25807259074,636.0660571326655,35.7430608884864
grayscale,7,6.0,2.0,47669.19649561952,708.1244073044477,36.562565357684015
grayscale,8,6.0,2.0,56994.14468085107,774.0963460973716,37.340704460549105
grayscale,9,6.0,2.0,64138.435043804755,652.4426025997298,39.851520952502646
grayscale,10,6.0,2.0,65405.947434292866,34.79019613603781,65.48320727646869
grayscale,0,6.0,1.0,4822.571851177609,166.06369793031644,29.26008004523686
grayscale,1,6.0,1.0,6012.4774149505065,201.5577149828276,29.493080636202414
grayscale,2,6.0,1.0,7762.264648993059,243.32537368017708,30.076020932398425
grayscale,3,6.0,1.0,10013.269313915122,288.65713418242336,30.803872027804307
grayscale,4,6.0,1.0,13100.062350665605,344.95643976386464,31.590182116013832
grayscale,5,6.0,1.0,16940.82876322676,402.03321852705426,32.49345427870431
grayscale,6,6.0,1.0,20689.272499715553,452.70512420113295,33.198596188664474
grayscale,7,6.0,1.0,25041.277961087722,506.0442189353711,33.88936042275381
grayscale,8,6.0,1.0,29711.99089771305,554.81564621659,34.57566106691738
grayscale,9,6.0,1.0,33491.77744908408,594.2493924137893,35.019389006504035
grayscale,10,6.0,1.0,37095.52759130731,623.6313545720105,35.48787219893546
grayscale,0,6.0,0.5,3669.9874843554444,119.13975176473721,29.772157846201143
grayscale,1,6.0,0.5,4258.166708385482,142.47244293632824,29.50983578174228
grayscale,2,6.0,0.5,5127.875844806007,172.4832771636903,29.463810128918148
grayscale,3,6.0,0.5,6246.011514392992,203.42510960799257,29.743964436735958
grayscale,4,6.0,0.5,7775.054818523154,239.87017598413172,30.214544119435924
grayscale,5,6.0,0.5,9663.50337922403,279.78337695890394,30.766253901892227
grayscale,6,6.0,0.5,11507.69461827284,313.47093459129815,31.29582099408267
grayscale,7,6.0,0.5,13654.137672090113,349.17421223239,31.844442308676065
grayscale,8,6.0,0.5,15975.507384230288,387.5314792494431,32.30295348416489
grayscale,9,6.0,0.5,17850.39299123905,414.29780948452964,32.68670289693838
grayscale,10,6.0,0.5,19641.798247809762,437.8108682358534,33.0378941506162
grayscale,0,6.0,0.25,3066.064888803312,89.01881786712006,30.74199038183773
grayscale,1,6.0,0.25,3363.673823048041,104.86568802297253,30.12360929682183
grayscale,2,6.0,0.25,3797.670164628863,125.11365309598631,29.644250755553912
grayscale,3,6.0,0.25,4356.749013189564,148.9429414986257,29.322852299088645
grayscale,4,6.0,0.25,5123.582940213729,174.33745412624444,29.363661425901036
grayscale,5,6.0,0.25,6068.537980167517,202.3357787736435,29.540227780821375
grayscale,6,6.0,0.25,6991.913738326754,225.41180978947105,29.83238791455445
grayscale,7,6.0,0.25,8060.828343121209,248.01918051677896,30.23788809320317
grayscale,8,6.0,0.25,9200.580725907384,273.57408759923015,30.534805614145952
grayscale,9,6.0,0.25,10123.187830942525,290.2632046625651,30.850506185065818
grayscale,10,6.0,0.25,11003.195532877635,306.71873393937983,31.095570556120848
grayscale,0,6.0,0.125,2771.137922403004,68.19615674466876,32.17796482626907
grayscale,1,6.0,0.125,2917.843304130163,76.96469616369222,31.575408123835388
grayscale,2,6.0,0.125,3135.979974968711,90.00032151242809,30.842584398178072
grayscale,3,6.0,0.125,3413.474843554443,107.9395260161714,30.000323997975187
grayscale,4,6.0,0.125,3794.0465581977473,123.51003688573003,29.748008091237594
grayscale,5,6.0,0.125,4266.356946182728,143.10870877818792,29.487822495650562
grayscale,6,6.0,0.125,4727.8037546933665,160.0432081833122,29.408443853470366
grayscale,7,6.0,0.125,5263.4232790988735,175.66643096707716,29.531590383150363
grayscale,8,6.0,0.125,5835.626533166458,192.63767282449984,29.626925343448455
grayscale,9,6.0,0.125,6296.148185231539,204.70664330271583,29.758860080046738
grayscale,10,6.0,0.125,6735.859824780976,215.46665344882385,29.900259487701305
grayscale,0,6.0,0.0625,2622.3239048811015,53.9084617923385,33.74058787973083
grayscale,1,6.0,0.0625,2696.8450563204005,62.62748559890099,32.68182039166846
grayscale,2,6.0,0.0625,2807.4453066332917,69.67849643959465,32.10425067261038
grayscale,3,6.0,0.0625,2946.9997496871088,81.48009546783072,31.166571395664747
grayscale,4,6.0,0.0625,3137.0633291614517,89.40977482799904,30.902765698425316
grayscale,5,6.0,0.0625,3372.037046307885,104.04406113912944,30.213500833255313
grayscale,6,6.0,0.0625,3600.885106382979,115.38797068899625,29.88497457980659
grayscale,7,6.0,0.0625,3867.2500625782227,126.99449871305143,29.67234694076849
grayscale,8,6.0,0.0625,4150.420025031289,137.91868094348746,29.569379098018587
grayscale,9,6.0,0.0625,4381.502878598248,146.74538275257248,29.501173120258862
grayscale,10,6.0,0.0625,4603.0297872340425,155.57528398249121,29.422063658284614
grayscale,0,12.0,4.0,11820.443554443054,459.00440030502347,28.216338489821386
grayscale,1,12.0,4.0,16644.477596996247,557.4789410032254,29.500834051557167
grayscale,2,12.0,4.0,23697.37972465582,685.1340838778304,30.778495089341995
grayscale,3,12.0,4.0,32823.104881101375,826.4392742013342,31.97937425700222
grayscale,4,12.0,4.0,45307.70062578223,985.6528633645942,33.2489606864082
grayscale,5,12.0,4.0,60792.33041301627,1140.8646863193783,34.532293090271175
grayscale,6,12.0,4.0,65408.0,0.0,nan
grayscale,7,12.0,4.0,65408.0,0.0,nan
grayscale,8,12.0,4.0,65408.0,0.0,nan
grayscale,9,12.0,4.0,65408.0,0.0,nan
grayscale,10,12.0,4.0,65408.0,0.0,nan
grayscale,0,12.0,2.0,7121.517897371715,324.21375850124235,26.834822584436893
grayscale,1,12.0,2.0,9511.443304130164,394.03809273108857,27.654164304492955
grayscale,2,12.0,2.0,12992.116145181477,479.7635128741625,28.653053571504046
grayscale,3,12.0,2.0,17500.385481852314,575.6993346834297,29.65703774923686
grayscale,4,12.0,2.0,23687.453316645806,683.471107174933,30.795964226569975
grayscale,5,12.0,2.0,31328.356445556947,787.5976487842399,31.99266400935506
grayscale,6,12.0,2.0,38818.541176470586,891.5119853513082,32.77824048356737
grayscale,7,12.0,2.0,47506.639299123904,991.4726071927136,33.60947177857549
grayscale,8,12.0,2.0,56809.71814768461,1090.6302242545692,34.33490211262418
grayscale,9,12.0,2.0,63975.95394242804,911.2242235487253,36.92783028101643
grayscale,10,12.0,2.0,65401.62002503129,74.24934212508222,58.89791792207757
grayscale,0,12.0,1.0,4813.327568551598,234.43989259553777,26.248278092542392
grayscale,1,12.0,1.0,6003.169416315849,284.4375450111455,26.487873564811167
grayscale,2,12.0,1.0,7740.883376948458,341.72443864801426,27.102289714438214
grayscale,3,12.0,1.0,9986.490385709409,411.1373491156134,27.70851913746501
grayscale,4,12.0,1.0,13050.338377517352,479.73011027317983,28.692495893183242
grayscale,5,12.0,1.0,16849.683923085675,554.8295058040464,29.64864419485901
grayscale,6,12.0,1.0,20576.606212310842,629.5584229773638,30.286754149493618
grayscale,7,12.0,1.0,24903.62225509159,702.6271649623563,30.99075167518982
grayscale,8,12.0,1.0,29511.92445101832,770.1767749482453,31.66814224648448
grayscale,9,12.0,1.0,33298.455797019,827.4176510939579,32.09398624762164
grayscale,10,12.0,1.0,36858.83900329958,878.0030198514437,32.460912836918745
grayscale,0,12.0,0.5,3640.762953692115,167.3396785284725,26.751869461010997
grayscale,1,12.0,0.5,4236.611764705883,200.74528072826106,26.48746647061118
grayscale,2,12.0,0.5,5104.1962453066335,243.41169891556402,26.431718322982466
grayscale,3,12.0,0.5,6225.812265331665,290.266746424905,26.62797471477534
grayscale,4,12.0,0.5,7751.489361702128,340.05599126687304,27.15669448961377
grayscale,5,12.0,0.5,9649.277596996246,393.5357681342336,27.79021179026675
grayscale,6,12.0,0.5,11491.394242803504,440.6996826216562,28.32459973570974
grayscale,7,12.0,0.5,13629.564956195243,488.0737423509541,28.919930997489956
grayscale,8,12.0,0.5,15918.674342928662,540.5419947238837,29.381549165583678
grayscale,9,12.0,0.5,17791.15093867334,578.9344027637148,29.751493724806046
grayscale,10,12.0,0.5,19561.65406758448,611.208597073389,30.104322404376664
grayscale,0,12.0,0.25,3074.17071339174,128.42652340888785,27.581465095903916
grayscale,1,12.0,0.25,3373.0322903629535,151.96771411278723,26.92538335719892
grayscale,2,12.0,0.25,3806.7043804755945,179.29327091735848,26.53970323120351
grayscale,3,12.0,0.25,4367.247058823529,211.3127169159798,26.305642541966773
grayscale,4,12.0,0.25,5135.993992490613,247.1938968265304,26.351735263534636
grayscale,5,12.0,0.25,6083.204005006258,284.2085123604194,26.609905994487264
grayscale,6,12.0,0.25,7012.053066332916,314.44070091670903,26.966128768673535
grayscale,7,12.0,0.25,8081.345682102628,350.8709986192791,27.246724226579502
grayscale,8,12.0,0.25,9220.826032540675,383.56380732919274,27.618644149693363
grayscale,9,12.0,0.25,10151.409261576971,408.41323694898034,27.908530552221663
grayscale,10,12.0,0.25,11024.969211514393,427.886483256005,28.220976355876765
grayscale,0,12.0,0.125,2798.3379224030036,99.60439193939703,28.972433388241114
grayscale,1,12.0,0.125,2946.0605757196495,112.71416150046738,28.34526375591684
grayscale,2,12.0,0.125,3162.7614518147684,133.51560740893635,27.49068802123276
grayscale,3,12.0,0.125,3441.4097622027534,154.44913392023565,26.959018180166385
grayscale,4,12.0,0.125,3822.2097622027536,177.541403586556,26.660297368492003
grayscale,5,12.0,0.125,4296.348435544431,205.2108207458588,26.41798476450016
grayscale,6,12.0,0.125,4756.1952440550685,227.3143677316098,26.412655750112805
grayscale,7,12.0,0.125,5290.879599499374,250.46663194355136,26.49556005874533
grayscale,8,12.0,0.125,5860.507634543179,272.53393225484393,26.650293071232333
grayscale,9,12.0,0.125,6321.880350438048,291.0110872735697,26.738734729216628
grayscale,10,12.0,0.125,6767.4252816020025,306.25543144017587,26.886793396355067
grayscale,0,12.0,0.0625,2665.573967459324,76.61262080808784,30.82980838304635
grayscale,1,12.0,0.0625,2738.1526908635797,87.16821595249283,29.94199010119701
grayscale,2,12.0,0.0625,2846.892615769712,98.93609370850393,29.18032653651299
grayscale,3,12.0,0.0625,2986.056570713392,113.80087653166042,28.37904848013642
grayscale,4,12.0,0.0625,3174.8065081351688,128.56590796499506,27.851828812836832
grayscale,5,12.0,0.0625,3411.6185231539425,148.2775383713995,27.23770192473811
grayscale,6,12.0,0.0625,3641.1153942428036,163.74412714344126,26.94137420605719
grayscale,7,12.0,0.0625,3906.1747183979974,179.52025736251713,26.752764053170356
grayscale,8,12.0,0.0625,4189.298623279099,195.8029056790027,26.606443733092647
grayscale,9,12.0,0.0625,4417.632040050063,208.8581968297599,26.506760298509143
grayscale,10,12.0,0.0625,4637.496871088861,218.6557617069799,26.530454077213072
grayscale,0,24.0,4.0,11439.721652065082,898.6228087972246,22.09676039646959
grayscale,1,24.0,4.0,16373.216520650814,1113.2595742231456,23.350751323561667
grayscale,2,24.0,4.0,23330.67133917397,1340.2352181800263,24.814924196184677
grayscale,3,24.0,4.0,32389.060325406757,1611.349865574391,26.064170024377297
grayscale,4,24.0,4.0,44599.35719649562,1921.2199645251744,27.31503016679815
grayscale,5,24.0,4.0,60565.35869837297,2217.7369664063426,28.726285161776282
grayscale,6,24.0,4.0,65407.93992490613,10.188707582552041,76.15022745589968
grayscale,7,24.0,4.0,65408.0,0.0,nan
grayscale,8,24.0,4.0,65408.0,0.0,nan
grayscale,9,24.0,4.0,65408.0,0.0,nan
grayscale,10,24.0,4.0,65408.0,0.0,nan
grayscale,0,24.0,2.0,6975.383229036295,638.9559845072837,20.761942614101674
grayscale,1,24.0,2.0,9440.929161451815,789.2108752780028,21.556433556215737
grayscale,2,24.0,2.0,12911.535419274092,949.6005031561921,22.668739097696907
grayscale,3,24.0,2.0,17432.55269086358,1135.4361469738483,23.72396541089357
grayscale,4,24.0,2.0,23516.15919899875,1344.5998256224154,24.855466820094414
grayscale,5,24.0,2.0,31458.74342928661,1582.5634891518557,25.967604587700915
grayscale,6,24.0,2.0,39321.26558197747,1770.6795739184051,26.929750200777804
grayscale,7,24.0,2.0,48329.21151439299,1989.4784613775935,27.70940936022062
grayscale,8,24.0,2.0,57684.59574468085,2178.7620459026343,28.457001043677668
grayscale,9,24.0,2.0,64357.236545682106,1345.6713226995364,33.59316780346764
grayscale,10,24.0,2.0,65391.14893617021,170.78444413337954,51.661413150910406
grayscale,0,24.0,1.0,4745.886357947435,463.250873409477,20.21002175704726
grayscale,1,24.0,1.0,5983.575469336671,565.9484875084847,20.483677388735046
grayscale,2,24.0,1.0,7738.326908635795,683.8948224399716,21.0731551375714
grayscale,3,24.0,1.0,9993.80225281602,818.9036150325579,21.729959270260366
grayscale,4,24.0,1.0,13039.435294117648,956.0643833348001,22.69543288071324
grayscale,5,24.0,1.0,17010.563204005008,1113.7582785680422,23.678554955401943
grayscale,6,24.0,1.0,20934.93066332916,1260.3789923691631,24.40740741949028
grayscale,7,24.0,1.0,25424.88510638298,1404.1173728702295,25.157111724505267
grayscale,8,24.0,1.0,30120.594743429287,1542.5835214018805,25.812297104407243
grayscale,9,24.0,1.0,34107.76470588235,1653.295574306066,26.290055102644573
grayscale,10,24.0,1.0,37691.0337922403,1747.0661425753653,26.678574042472036
grayscale,0,24.0,0.5,3656.8710888610763,343.7004115011831,20.53859197718769
grayscale,1,24.0,0.5,4263.413266583229,408.7712203522103,20.36554241376308
grayscale,2,24.0,0.5,5130.83153942428,488.6663883969678,20.423505748447326
grayscale,3,24.0,0.5,6249.964455569462,584.415629355336,20.583114509165625
grayscale,4,24.0,0.5,7762.457071339174,684.5236268710386,21.092215373429752
grayscale,5,24.0,0.5,9736.066082603254,795.6133369466661,21.753629166559854
grayscale,6,24.0,0.5,11674.653316645807,889.3450981365302,22.363473544193972
grayscale,7,24.0,0.5,13895.579474342929,987.3907370359926,22.967752275835906
grayscale,8,24.0,0.5,16189.999499374218,1073.0303934099336,23.572696237280077
grayscale,9,24.0,0.5,18145.61802252816,1161.7065801323945,23.873506303073484
grayscale,10,24.0,0.5,19928.40450563204,1223.549247783754,24.237021510728376
grayscale,0,24.0,0.25,3085.6530663329163,262.1199396811946,21.416940709430357
grayscale,1,24.0,0.25,3390.7464330413018,307.4800559076576,20.84956724398239
grayscale,2,24.0,0.25,3819.8848560700876,362.99018380932483,20.443107825772444
grayscale,3,24.0,0.25,4384.410513141427,422.36858077102295,20.32439212195817
grayscale,4,24.0,0.25,5136.786983729662,493.57548982419496,20.3467594250276
grayscale,5,24.0,0.25,6117.3566958698375,572.930024886784,20.56924444034786
grayscale,6,24.0,0.25,7083.798748435544,638.0620872877831,20.90806548173555
grayscale,7,24.0,0.25,8197.544931163955,710.1508431136083,21.246663974922587
grayscale,8,24.0,0.25,9344.58673341677,773.2872403221563,21.64438510460403
grayscale,9,24.0,0.25,10320.112140175219,822.1268584069874,21.97491159705119
grayscale,10,24.0,0.25,11203.850813516896,866.7706190986551,22.229262713022585
grayscale,0,24.0,0.125,2827.2,213.29499864168628,22.447517199317506
grayscale,1,24.0,0.125,2976.5246558197746,241.44023097117486,21.81799692907555
grayscale,2,24.0,0.125,3190.263829787234,278.04030681767904,21.194376818578228
grayscale,3,24.0,0.125,3472.158197747184,318.4443387722887,20.751319433669607
grayscale,4,24.0,0.125,3847.771714643304,366.1092374786643,20.431972217140164
grayscale,5,24.0,0.125,4327.140926157697,414.76966034043966,20.36788117002843
grayscale,6,24.0,0.125,4802.799499374218,463.21157304384377,20.31430110537343
grayscale,7,24.0,0.125,5354.977722152691,509.78434233959985,20.42742352239053
grayscale,8,24.0,0.125,5922.771464330413,554.7978561841539,20.56780402151155
grayscale,9,24.0,0.125,6405.685106382979,588.3023091138057,20.739300651754817
grayscale,10,24.0,0.125,6845.206508135169,620.6293818673479,20.85108444921961
grayscale,0,24.0,0.0625,2681.3837296620777,185.07757815959712,23.22010323830066
grayscale,1,24.0,0.0625,2755.8167709637046,201.10694021279372,22.73646560787348
grayscale,2,24.0,0.0625,2863.032790988736,219.61820460686639,22.30315970579422
grayscale,3,24.0,0.0625,3002.8535669586986,251.2235761358956,21.54947522119752
grayscale,4,24.0,0.0625,3189.0663329161453,281.26114553913675,21.091076229086994
grayscale,5,24.0,0.0625,3431.8518147684604,313.96814232178275,20.77285887283992
grayscale,6,24.0,0.0625,3670.558197747184,343.5498641193452,20.574846664398
grayscale,7,24.0,0.0625,3947.3882352941177,373.4981296687878,20.480428220797442
grayscale,8,24.0,0.0625,4230.848560700876,407.03477078842843,20.335919403855463
grayscale,9,24.0,0.0625,4470.708385481852,429.13727419105084,20.355602088095864
grayscale,10,24.0,0.0625,4688.034042553191,446.2119583670267,20.42899103203787
