gain_db,ratio,mean,std,snr
6.0,0.0625,3471.43656843782,678.2579650057511,5.11816557643873
0.0,0.0625,3498.1783593127775,675.6512811215455,5.177490899604284
12.0,0.0625,3510.4380475594494,686.5749177332063,5.112971588227401
24.0,0.0625,3539.2311298213676,766.1096005886537,4.619745173669586
6.0,0.125,4468.881920582547,1349.7754896081537,3.3108335089710987
12.0,0.125,4496.7287290931845,1359.6537388506636,3.30726022413202
0.0,0.125,4499.018136306747,1345.6162495349572,3.3434629953834163
24.0,0.125,4542.95451132097,1438.4562952116412,3.158215182792579
